VX, VY, COL, ROW
-0.1781, 0.220451, 10, 35
-0.166032, 0.321962, 10, 36
-0.149386, 0.381984, 10, 37
-0.127354, 0.425847, 10, 38
-0.101507, 0.459756, 10, 39
-0.0731239, 0.486316, 10, 40
-0.0431491, 0.506954, 10, 41
-0.0123048, 0.522612, 10, 42
0.0188283, 0.533967, 10, 43
0.0497992, 0.541553, 10, 44
0.0802585, 0.545841, 10, 45
0.109893, 0.547246, 10, 46
0.138502, 0.546126, 10, 47
0.165901, 0.542817, 10, 48
0.191967, 0.537641, 10, 49
-0.632699, 0.438215, 11, 0
-0.724888, 0.425041, 11, 1
-0.718823, 0.47913, 11, 2
-0.704215, 0.543192, 11, 3
-0.676662, 0.61848, 11, 4
-0.629885, 0.705265, 11, 5
-0.555606, 0.801398, 11, 6
-0.444736, 0.899938, 11, 7
-0.291234, 0.986877, 11, 8
-0.0984572, 1.04214, 11, 9
0.116529, 1.04717, 11, 10
0.326891, 0.995887, 11, 11
0.507577, 0.898973, 11, 12
0.645648, 0.776566, 11, 13
0.741416, 0.647069, 11, 14
0.802429, 0.521557, 11, 15
0.83739, 0.40464, 11, 16
0.853372, 0.297089, 11, 17
0.855261, 0.198118, 11, 18
0.846142, 0.106548, 11, 19
0.827847, 0.0213472, 11, 20
0.801402, -0.0580899, 11, 21
0.767379, -0.131993, 11, 22
0.726155, -0.200148, 11, 23
0.678064, -0.26206, 11, 24
0.623518, -0.317, 11, 25
0.563026, -0.364148, 11, 26
0.497075, -0.402783, 11, 27
0.426065, -0.43216, 11, 28
0.350015, -0.451571, 11, 29
0.268075, -0.46014, 11, 30
0.177516, -0.456219, 11, 31
0.0711941, -0.435388, 11, 32
-0.068313, -0.381344, 11, 33
-0.254952, -0.227745, 11, 34
-0.346638, 0.0482048, 11, 35
-0.314364, 0.232801, 11, 36
-0.267068, 0.335878, 11, 37
-0.221639, 0.402667, 11, 38
-0.178114, 0.450169, 11, 39
-0.135865, 0.485342, 11, 40
-0.0946666, 0.511598, 11, 41
-0.0545153, 0.530916, 11, 42
-0.0155225, 0.544571, 11, 43
0.0221468, 0.553482, 11, 44
0.0583472, 0.558381, 11, 45
0.0929447, 0.55985, 11, 46
0.125814, 0.558398, 11, 47
0.156887, 0.554462, 11, 48
0.186101, 0.548449, 11, 49
-0.67925, 0.372129, 12, 0
-0.773407, 0.359783, 12, 1
-0.777483, 0.411368, 12, 2
-0.775255, 0.47478, 12, 3
-0.762257, 0.552897, 12, 4
-0.731129, 0.648564, 12, 5
-0.670247, 0.763006, 12, 6
-0.563241, 0.891898, 12, 7
-0.393185, 1.01839, 12, 8
-0.156407, 1.10857, 12, 9
0.121526, 1.12387, 12, 10
0.390913, 1.05055, 12, 11
0.606625, 0.913061, 12, 12
0.753002, 0.751747, 12, 13
0.840445, 0.594912, 12, 14
0.886774, 0.453418, 12, 15
0.906397, 0.328227, 12, 16
0.908528, 0.216756, 12, 17
0.898419, 0.115898, 12, 18
0.878811, 0.0231336, 12, 19
0.850962, -0.0632831, 12, 20
0.815312, -0.144286, 12, 21
0.771902, -0.220069, 12, 22
0.720674, -0.290267, 12, 23
0.661651, -0.354057, 12, 24
0.595029, -0.410345, 12, 25
0.521207, -0.457889, 12, 26
0.440588, -0.495563, 12, 27
0.353456, -0.52218, 12, 28
0.259647, -0.536425, 12, 29
0.158086, -0.536356, 12, 30
0.0462939, -0.518231, 12, 31
-0.0796225, -0.473674, 12, 32
-0.22027, -0.384378, 12, 33
-0.35215, -0.225721, 12, 34
-0.41699, -0.0184798, 12, 35
-0.40445, 0.16196, 12, 36
-0.35773, 0.288995, 12, 37
-0.302942, 0.376335, 12, 38
-0.248008, 0.438156, 12, 39
-0.194822, 0.482986, 12, 40
-0.143798, 0.515686, 12, 41
-0.0949885, 0.539233, 12, 42
-0.0484361, 0.555544, 12, 43
-0.00416316, 0.565976, 12, 44
0.0377777, 0.571555, 12, 45
0.0773503, 0.573096, 12, 46
0.114523, 0.571257, 12, 47
0.149292, 0.566599, 12, 48
0.181666, 0.559628, 12, 49
-0.721593, 0.291543, 13, 0
-0.81693, 0.281363, 13, 1
-0.831836, 0.326494, 13, 2
-0.843891, 0.384053, 13, 3
-0.849591, 0.458462, 13, 4
-0.842148, 0.555726, 13, 5
-0.808349, 0.68303, 13, 6
-0.723438, 0.845267, 13, 7
-0.548608, 1.03168, 13, 8
-0.25289, 1.18937, 13, 9
0.129678, 1.22829, 13, 10
0.494429, 1.11022, 13, 11
0.750108, 0.901528, 13, 12
0.889063, 0.688573, 13, 13
0.95162, 0.506551, 13, 14
0.972515, 0.356514, 13, 15
0.971115, 0.230716, 13, 16
0.956819, 0.121616, 13, 17
0.933798, 0.0236535, 13, 18
0.903578, -0.0668599, 13, 19
0.866345, -0.152047, 13, 20
0.821646, -0.232862, 13, 21
0.768835, -0.309243, 13, 22
0.707337, -0.380378, 13, 23
0.63685, -0.444876, 13, 24
0.557467, -0.501004, 13, 25
0.469654, -0.54687, 13, 26
0.374056, -0.5807, 13, 27
0.271335, -0.600687, 13, 28
0.161922, -0.604804, 13, 29
0.0458972, -0.590246, 13, 30
-0.0766329, -0.552396, 13, 31
-0.203761, -0.483657, 13, 32
-0.326945, -0.374156, 13, 33
-0.42504, -0.220608, 13, 34
-0.472588, -0.0428331, 13, 35
-0.466111, 0.123059, 13, 36
-0.425058, 0.255873, 13, 37
-0.368851, 0.355229, 13, 38
-0.30809, 0.428231, 13, 39
-0.247353, 0.481698, 13, 40
-0.188453, 0.5206, 13, 41
-0.132109, 0.548357, 13, 42
-0.0786189, 0.567349, 13, 43
-0.0281014, 0.579298, 13, 44
0.0193786, 0.585511, 13, 45
0.063815, 0.587028, 13, 46
0.105217, 0.584678, 13, 47
0.143624, 0.579167, 13, 48
0.179098, 0.571102, 13, 49
-0.755701, 0.197073, 14, 0
-0.851674, 0.190566, 14, 1
-0.876608, 0.22475, 14, 2
-0.902793, 0.269905, 14, 3
-0.928817, 0.330999, 14, 4
-0.950993, 0.416043, 14, 5
-0.959789, 0.538238, 14, 6
-0.929837, 0.7186, 14, 7
-0.794957, 0.980028, 14, 8
-0.433781, 1.28024, 14, 9
0.14853, 1.38666, 14, 10
0.686252, 1.15398, 14, 11
0.962759, 0.817546, 14, 12
1.05148, 0.55509, 14, 13
1.0646, 0.367049, 14, 14
1.05, 0.22573, 14, 15
1.02452, 0.111702, 14, 16
0.993659, 0.0133344, 14, 17
0.958673, -0.07619, 14, 18
0.919064, -0.160745, 14, 19
0.873577, -0.242304, 14, 20
0.820703, -0.32137, 14, 21
0.758986, -0.39731, 14, 22
0.687311, -0.468558, 14, 23
0.605125, -0.532849, 14, 24
0.512578, -0.587508, 14, 25
0.41051, -0.629798, 14, 26
0.300223, -0.657203, 14, 27
0.183333, -0.667356, 14, 28
